id,source,target,labels,weight
fbd39d4958913fc20210cccd63b269aa,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.figures.GroupCommand,constructs,1
c34ca280824eb761184cea5609febb27,CH.ifa.draw.util.Iconkit,int,holds,1
961a8295f853a6b1561570e528f5d133,CH.ifa.draw.figures.ConnectedTextTool,CH.ifa.draw.standard.TextHolder,calls,1
6b469d2a49037249b4d75a388739f13f,CH.ifa.draw.samples.pert.PertFigure,int,holds,2
0030632744f98e18e7b9b13e7b6d71fb,CH.ifa.draw.figures.TextFigure,CH.ifa.draw.standard.OffsetLocator,constructs,1
7c7d1dff04a9ce6283c083fb469d1f33,CH.ifa.draw.figures.GroupFigure,CH.ifa.draw.framework.Figure,calls,3
3e1fbc40ce360d23dc431cb48a09641d,CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.figures.ElbowTextLocator,constructs,1
61ec9790ef031e8e32b1eb3376cc4efd,CH.ifa.draw.samples.pert.PertFigure,CH.ifa.draw.standard.NullHandle,constructs,4
c66ce1909dc29e9eeb5db9e6180b083c,CH.ifa.draw.figures,CH.ifa.draw.figures.LineConnection,contains,1
63657b42fe70f9b14d0029b76247da3a,CH.ifa.draw.contrib.TriangleRotationHandle,CH.ifa.draw.util.Geom,calls,1
d1de0ded79cc49d7e0ab5dafab4f4113,CH.ifa.draw.figures.ArrowTip,CH.ifa.draw.util.StorableInput,accepts,1
90c4863b8123fa39784a5983cb40cd24,CH.ifa.draw.figures.ConnectedTextTool,boolean,holds,1
ef6db0887d805115ff5d2b7b800a34ad,CH.ifa.draw.standard.ConnectionHandle,CH.ifa.draw.framework.Figure,calls,10
93501b936f538672f2705d3782773fe2,CH.ifa.draw.standard.ChangeConnectionHandle,CH.ifa.draw.standard.AbstractHandle,specializes,1
33ccc06833df496464a101006d8cdb15,CH.ifa.draw.standard.AbstractLocator,CH.ifa.draw.util.Storable,specializes,1
7ce748a49b35093c0771cd2f219d033f,CH.ifa.draw.standard.CompositeFigure,int,accepts,11
16fc070051debe2f8f3b61fe8ae51eb9,CH.ifa.draw.util.PaletteButton,CH.ifa.draw.util.PaletteListener,holds,1
514e77803634d0cda1d01377d84e9ef4,CH.ifa.draw.util,CH.ifa.draw.util.CommandChoice,contains,1
8fffba97264492ef62fb00250f66cddd,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,constructs,1
b5e2cb3f8536364b93a7be23834157f4,CH.ifa.draw.standard.ConnectionHandle,CH.ifa.draw.framework.DrawingView,accepts,3
61409ac7f7bfde5ff1bb9062ca53e08d,CH.ifa.draw.framework.Locator,CH.ifa.draw.util.Storable,specializes,1
d4ab847f84fc41ed36214374e3ca41fc,CH.ifa.draw.samples.pert,CH.ifa.draw.samples.pert.PertApplication,contains,1
23c76346e603339b1fb24d12eb45444b,CH.ifa.draw.figures.EllipseFigure,CH.ifa.draw.figures.AttributeFigure,specializes,1
eac4ada76aac6c46977f5157c9d1b52e,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.util.PaletteButton,accepts,2
439e1bac93a8d8443439def763f366ae,CH.ifa.draw.standard.ChangeConnectionHandle,CH.ifa.draw.framework.Figure,accepts,1
f553a53102b137b33a70715c491985a0,CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.framework.Connector,calls,2
9aebcaf9101317facdd901672de953fc,CH.ifa.draw.figures.BorderTool,CH.ifa.draw.figures.BorderDecorator,constructs,1
1a5acf3660834d8b0d13e351d904207e,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.StandardDrawingView,holds,1
9bfccfbce46eecd7e29c2afe129fc275,CH.ifa.draw.standard.DecoratorFigure,CH.ifa.draw.standard.AbstractFigure,calls,4
2e0c5964041618fbbd2b1530f7eab01e,CH.ifa.draw.figures.PolyLineFigure,java.lang.String,accepts,2
05bbd863327c178c9471304bbc974de6,CH.ifa.draw.util.StorableOutput,int,holds,1
be949c71bf30a0eeae9c903fad69c04a,CH.ifa.draw.figures.ShortestDistanceConnector,CH.ifa.draw.util.Geom,calls,9
d0f20bd46f81d719e0ac319da0e49e99,CH.ifa.draw.standard,CH.ifa.draw.standard.SelectAreaTracker,contains,1
35ccb0ceabd54e55d64c9e94afbbb7e9,CH.ifa.draw.standard.AbstractHandle,CH.ifa.draw.framework.DrawingView,accepts,3
21aff171abf9f218ffa72ffba3a7bba2,CH.ifa.draw.util,CH.ifa.draw.util.StorableOutput,contains,1
e9a505ae443313a291e89aef37c8b9ce,CH.ifa.draw.figures.ElbowHandle,CH.ifa.draw.util.Geom,calls,4
9a07e4250511114f7c44e6ac414383ca,CH.ifa.draw.framework,CH.ifa.draw.framework.HJDError,contains,1
05fc2628596cb8aa70f53038aaa1631b,CH.ifa.draw.samples.javadraw.JavaDrawViewer,CH.ifa.draw.standard.StandardDrawingView,calls,1
28896b3b9b17902f0a85360cb197204c,CH.ifa.draw.figures.PolyLineHandle,int,holds,1
2f1a72859484843f9ad5f9dff8324707,CH.ifa.draw.framework.DrawingView,CH.ifa.draw.framework.DrawingEditor,accepts,1
080480ec17c585742668de8d8bcf8c39,CH.ifa.draw.samples.pert.PertDependency,CH.ifa.draw.figures.LineConnection,specializes,1
8c66cfd06efc89d16094408cee785e43,CH.ifa.draw.standard.ActionTool,int,accepts,4
03486dec4a7c42fd45916e9f8efe59bb,CH.ifa.draw.samples.pert.PertFigure,CH.ifa.draw.util.StorableInput,calls,6
c9122c31cf645becf65610ba9294059d,CH.ifa.draw.figures.LineConnection,CH.ifa.draw.framework.Connector,calls,4
c0d904873b46800bc3ff2cb36806b9f0,CH.ifa.draw.standard,CH.ifa.draw.standard.CreationTool,contains,1
d947d457e1e4b8cf21dd6f5613a50b2e,CH.ifa.draw.standard.RelativeLocator,CH.ifa.draw.standard.RelativeLocator,constructs,9
79eedc877f495349c5a2d82e32909503,CH.ifa.draw.standard.ReverseFigureEnumerator,CH.ifa.draw.framework.Figure,returns,1
f23b37d1aaf7eb239e2b0805bba57cc6,CH.ifa.draw.samples.nothing.NothingApp,CH.ifa.draw.figures.LineFigure,constructs,1
19d32796e0adfee7792bd915118c3d79,CH.ifa.draw.standard.CompositeFigure,CH.ifa.draw.framework.FigureChangeEvent,accepts,5
ae15eed2ee4f71c2afbce9c1155f651b,CH.ifa.draw.standard.LocatorConnector,CH.ifa.draw.standard.AbstractConnector,calls,2
e5b696ba57be76dd57fb0a1da54289d6,CH.ifa.draw.util.CommandMenu,java.lang.String,calls,3
024257a5d4afa8ed1fa87d39d6e15187,CH.ifa.draw.standard.ChangeAttributeCommand,CH.ifa.draw.util.Command,specializes,1
fde59a44dd6f169537798b13ed284be5,CH.ifa.draw.util.Geom,int,returns,2
ac37f696f0ce601afc864a376eb3b69f,CH.ifa.draw.standard.StandardDrawing,CH.ifa.draw.framework.FigureChangeEvent,calls,2
5be7cde3ea234db2b2d1adabc6ee25b2,CH.ifa.draw.samples.pert.PertFigure,boolean,returns,2
ea945189cea4644ff74a01c47b38bb27,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.standard.AlignCommand,accesses,6
41d18ee8c04f7c21c062f5dc62cb90c4,CH.ifa.draw.standard.PasteCommand,CH.ifa.draw.framework.FigureSelection,calls,1
bc3541c63baa0c72e639c21b9d9dbdef,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.FollowURLTool,contains,1
1ec2a10239839d975df02a61f04f8333,CH.ifa.draw.figures.ElbowConnection,CH.ifa.draw.util.Geom,calls,1
