id,labels,kind,simpleName
CH.ifa.draw.figures.ArrowTip,Structure,class,ArrowTip
CH.ifa.draw.standard.ChangeAttributeCommand,Structure,class,ChangeAttributeCommand
boolean,Primitive,,boolean
CH.ifa.draw.standard.SelectAreaTracker,Structure,class,SelectAreaTracker
CH.ifa.draw.samples.javadraw.JavaDrawApp,Structure,class,JavaDrawApp
CH.ifa.draw.util.PaletteButton,Structure,abstract,PaletteButton
CH.ifa.draw.samples.pert.PertApplication,Structure,class,PertApplication
CH.ifa.draw.standard.OffsetLocator,Structure,class,OffsetLocator
CH.ifa.draw.util.PaletteLayout,Structure,class,PaletteLayout
CH.ifa.draw.framework.ConnectionFigure,Structure,interface,ConnectionFigure
CH.ifa.draw.figures.ShortestDistanceConnector,Structure,class,ShortestDistanceConnector
CH.ifa.draw.samples.javadraw.MySelectionTool,Structure,class,MySelectionTool
CH.ifa.draw.standard.AlignCommand,Structure,class,AlignCommand
CH.ifa.draw.standard,Container,package,standard
char,Primitive,,char
CH.ifa.draw.standard.StandardDrawingView,Structure,class,StandardDrawingView
CH.ifa.draw.util.Geom,Structure,class,Geom
CH.ifa.draw.util.Filler,Structure,class,Filler
CH.ifa.draw.framework.DrawingChangeListener,Structure,interface,DrawingChangeListener
CH.ifa.draw.figures.ChopEllipseConnector,Structure,class,ChopEllipseConnector
CH.ifa.draw.figures.TextTool,Structure,class,TextTool
CH.ifa.draw.standard.AbstractTool,Structure,class,AbstractTool
CH.ifa.draw.framework.PointConstrainer,Structure,interface,PointConstrainer
CH.ifa.draw.standard.GridConstrainer,Structure,class,GridConstrainer
CH.ifa.draw.contrib.TriangleFigure,Structure,class,TriangleFigure
CH.ifa.draw.samples.javadraw.Animator,Structure,class,Animator
CH.ifa.draw.figures.RectangleFigure,Structure,class,RectangleFigure
CH.ifa.draw.standard.BringToFrontCommand,Structure,class,BringToFrontCommand
CH.ifa.draw.figures.LineDecoration,Structure,interface,LineDecoration
CH.ifa.draw.contrib.PolygonHandle,Structure,class,PolygonHandle
CH.ifa.draw.framework.DrawingChangeEvent,Structure,class,DrawingChangeEvent
float,Primitive,,float
