id,source,target,labels,weight
5f57d02a2be1582b668ef0a28ebe686a,"CH.ifa.draw.standard.DecoratorFigure.setAttribute(java.lang.String,java.lang.Object)","CH.ifa.draw.framework.Figure.setAttribute(java.lang.String,java.lang.Object)",invokes,1
11dc988ebd69bbb564547065eac89eb8,CH.ifa.draw.standard.DuplicateCommand.execute(),CH.ifa.draw.framework.FigureSelection.getData(java.lang.String),invokes,1
50b4387d58d92647905085a8ccb3edfa,"CH.ifa.draw.figures.ConnectedTextTool.mouseDown(java.awt.event.MouseEvent,int,int).x",int,type,1
52f38fada33a75f3b4595586e40c307d,CH.ifa.draw.applet.DrawApplet.init(),CH.ifa.draw.applet.DrawApplet.createTools(java.awt.Panel),invokes,1
93ff2f56a2b422b7cd72087f526e1641,CH.ifa.draw.standard.SimpleUpdateStrategy,CH.ifa.draw.standard.SimpleUpdateStrategy.serialVersionUID,hasVariable,1
7e01b0a069d0d3fa3468acd037690b9a,"CH.ifa.draw.figures.EllipseFigure.connectorAt(int,int)","CH.ifa.draw.figures.EllipseFigure.connectorAt(int,int).x",hasParameter,1
abaa6d6670c29d5cf12971622e83beb0,CH.ifa.draw.samples.javadraw.JavaDrawViewer,CH.ifa.draw.samples.javadraw.JavaDrawViewer.drawing(),hasScript,1
ad1272546b9872f38cf99792bcd7bd14,CH.ifa.draw.standard.BoxHandleKit.east(CH.ifa.draw.framework.Figure),CH.ifa.draw.framework.Handle,returnType,1
7e205027aebb793806eecef6a64f89be,CH.ifa.draw.samples.javadraw.BouncingDrawing.CH.ifa.draw.samples.javadraw.BouncingDrawing(),CH.ifa.draw.standard.StandardDrawing.CH.ifa.draw.standard.StandardDrawing(),invokes,1
7f7d4b0e01f8db74b96c9d72121332af,CH.ifa.draw.standard.StandardDrawingView.addAll(java.util.Vector),CH.ifa.draw.standard.StandardDrawingView.add(CH.ifa.draw.framework.Figure),invokes,1
18225bc43067d1e75afc834cdfef1ddc,CH.ifa.draw.contrib.PolygonTool.deactivate(),CH.ifa.draw.framework.Drawing.remove(CH.ifa.draw.framework.Figure),invokes,1
92bf3b17989054a7ec139a488d6187c0,"CH.ifa.draw.standard.ChangeConnectionHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).y",int,type,1
5263bb8cd48f747111ee601689be8c95,CH.ifa.draw.standard.AlignCommand,CH.ifa.draw.standard.AlignCommand.MIDDLES,hasVariable,1
b524e9c3ada819137feef4abf371d380,"CH.ifa.draw.contrib.PolygonTool.mouseDown(java.awt.event.MouseEvent,int,int)",CH.ifa.draw.framework.DrawingEditor.toolDone(),invokes,1
1255fba7bd16b890ccaac98b80ce6acb,CH.ifa.draw.standard.StandardDrawingView,CH.ifa.draw.standard.StandardDrawingView.selection(),hasScript,1
37aa05da663c9698810bf8e841b2b5d8,CH.ifa.draw.figures.AttributeFigure.getAttribute(java.lang.String),CH.ifa.draw.figures.FigureAttributes.hasDefined(java.lang.String),invokes,1
6e9ed2d027d8cd5acadea612c9b04e1e,CH.ifa.draw.standard.ChangeAttributeCommand.execute(),CH.ifa.draw.framework.FigureEnumeration.nextFigure(),invokes,1
cffa9878da74fad58c31b8f6ac9f3ecb,"CH.ifa.draw.figures.InsertImageCommand.CH.ifa.draw.figures.InsertImageCommand(java.lang.String,java.lang.String,CH.ifa.draw.framework.DrawingView).view",CH.ifa.draw.framework.DrawingView,type,1
ee25fb31ba7b4c96dbf1f3ae83ae0af1,CH.ifa.draw.figures.RoundRectangleFigure,"CH.ifa.draw.figures.RoundRectangleFigure.basicMoveBy(int,int)",hasScript,1
f607227bc488132eb76f62b96c3e52e5,"CH.ifa.draw.standard.CompositeFigure.findFigure(int,int)","CH.ifa.draw.standard.CompositeFigure.findFigure(int,int).y",hasParameter,1
61922fd7530f3daf558a975a47c03faa,CH.ifa.draw.util.Command,CH.ifa.draw.util.Command.name(),hasScript,1
3c7bbe3e63ad984975df913b9314eb6d,CH.ifa.draw.figures.TextFigure.drawFrame(java.awt.Graphics),CH.ifa.draw.figures.TextFigure.getAttribute(java.lang.String),invokes,1
ba6e537b76272d0623ede0dc41c1e3f5,CH.ifa.draw.standard.ActionTool.CH.ifa.draw.standard.ActionTool(CH.ifa.draw.framework.DrawingView),CH.ifa.draw.standard.ActionTool,returnType,1
75fb2c0765b632f5b99115903494cdf4,CH.ifa.draw.standard.ChangeAttributeCommand.fView,CH.ifa.draw.framework.DrawingView,type,1
feb0114ec2ee9c5339d1530be2ac7107,CH.ifa.draw.contrib.PolygonFigure.pointCount(),int,returnType,1
847077416c91b25fa22ac55977ee6d05,"CH.ifa.draw.figures.GroupHandle.CH.ifa.draw.figures.GroupHandle(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Locator).locator",CH.ifa.draw.framework.Locator,type,1
ec860b0a680861e3a4392a218cc56efd,"CH.ifa.draw.application.DrawApplication.paletteUserOver(CH.ifa.draw.util.PaletteButton,boolean).inside",boolean,type,1
33ccc06833df496464a101006d8cdb15,CH.ifa.draw.standard.AbstractLocator,CH.ifa.draw.util.Storable,specializes,1
06052b8aaab61062e61249471e5a1f46,CH.ifa.draw.samples.net.NodeFigure.initialize(),CH.ifa.draw.figures.TextFigure.setText(java.lang.String),invokes,1
350c6419e84928bd14357a8097136157,"CH.ifa.draw.application.DrawApplication.setTool(CH.ifa.draw.framework.Tool,java.lang.String)","CH.ifa.draw.application.DrawApplication.setTool(CH.ifa.draw.framework.Tool,java.lang.String).name",hasParameter,1
fa7629127204739bc91277b9d58db2f7,"CH.ifa.draw.standard.CopyCommand.CH.ifa.draw.standard.CopyCommand(java.lang.String,CH.ifa.draw.framework.DrawingView)","CH.ifa.draw.standard.CopyCommand.CH.ifa.draw.standard.CopyCommand(java.lang.String,CH.ifa.draw.framework.DrawingView).view",hasParameter,1
d0e8bf7cd2b9bd5334e774f521965d1c,CH.ifa.draw.samples.javadraw.FollowURLTool,"CH.ifa.draw.samples.javadraw.FollowURLTool.mouseMove(java.awt.event.MouseEvent,int,int)",hasScript,1
fb61879c2f7715690499cfef87b5006f,CH.ifa.draw.framework.FigureSelection.getType(),java.lang.String,returnType,1
f25be42b56549faaf396a78b8b82056f,CH.ifa.draw.samples.nothing.NothingApp.createTools(java.awt.Panel),CH.ifa.draw.figures.ElbowConnection,instantiates,1
a613045822a0dd8906d794a5824ac73f,CH.ifa.draw.util.CommandMenu,CH.ifa.draw.util.CommandMenu.actionPerformed(java.awt.event.ActionEvent),hasScript,1
817e473bc55d1aeb5defae6dd3c0f8e5,CH.ifa.draw.standard.CompositeFigure.add(CH.ifa.draw.framework.Figure),CH.ifa.draw.framework.Figure,returnType,1
573f21283f8b2daff2a5b02ca4c06087,CH.ifa.draw.standard.DecoratorFigure,"CH.ifa.draw.standard.DecoratorFigure.basicDisplayBox(java.awt.Point,java.awt.Point)",hasScript,1
a6a21e32e3ab35f39e36384d89918db9,"CH.ifa.draw.framework.DrawingChangeEvent.CH.ifa.draw.framework.DrawingChangeEvent(CH.ifa.draw.framework.Drawing,java.awt.Rectangle).source",CH.ifa.draw.framework.Drawing,type,1
96102af974ca4219d6c93729d01edd8a,CH.ifa.draw.framework.Drawing,CH.ifa.draw.framework.Drawing.draw(java.awt.Graphics),hasScript,1
c8a75600f4d70508469d7ea7ace32986,CH.ifa.draw.standard.AlignCommand.LEFTS,int,type,1
fff8533e4b57ffa93cedb6d21636e76c,"CH.ifa.draw.standard.FigureChangeEventMulticaster.addInternal(CH.ifa.draw.framework.FigureChangeListener,CH.ifa.draw.framework.FigureChangeListener)","CH.ifa.draw.standard.FigureChangeEventMulticaster.addInternal(CH.ifa.draw.framework.FigureChangeListener,CH.ifa.draw.framework.FigureChangeListener).b",hasParameter,1
6b4434bff513e4e537983c5c2c772072,CH.ifa.draw.standard.DecoratorFigure.includes(CH.ifa.draw.framework.Figure),boolean,returnType,1
bc77fdf3dcc2253f63b2215192a7a2a6,CH.ifa.draw.util.PaletteButton.paint(java.awt.Graphics),CH.ifa.draw.util.PaletteButton.paintSelected(java.awt.Graphics),invokes,1
a53545a757308f93259dfeeba3875a35,CH.ifa.draw.figures.LineConnection.connectStart(CH.ifa.draw.framework.Connector),CH.ifa.draw.figures.LineConnection.connectStart(CH.ifa.draw.framework.Connector).start,hasParameter,1
cd9e17aa57e68762af81cdacd11be2d9,CH.ifa.draw.standard.CompositeFigure.figureRequestRemove(CH.ifa.draw.framework.FigureChangeEvent).e,CH.ifa.draw.framework.FigureChangeEvent,type,1
