id,labels,kind,simpleName
CH.ifa.draw.standard.StandardDrawingView.mouseExited(java.awt.event.MouseEvent).e,Variable,parameter,e
CH.ifa.draw.util.StorableOutput.mapped(CH.ifa.draw.util.Storable).storable,Variable,parameter,storable
CH.ifa.draw.standard.OffsetLocator,Structure,class,OffsetLocator
CH.ifa.draw.figures.AttributeFigure.drawBackground(java.awt.Graphics).g,Variable,parameter,g
CH.ifa.draw.application.DrawApplication.createTools(java.awt.Panel),Operation,method,createTools(java.awt.Panel)
CH.ifa.draw.figures.AttributeFigure.write(CH.ifa.draw.util.StorableOutput),Operation,method,write(CH.ifa.draw.util.StorableOutput)
CH.ifa.draw.samples.javadraw.URLTool.fURLTarget,Variable,field,fURLTarget
CH.ifa.draw.figures.BorderDecorator.figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent),Operation,method,figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent)
"CH.ifa.draw.figures.PolyLineHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).view",Variable,parameter,view
"CH.ifa.draw.standard.CopyCommand.CH.ifa.draw.standard.CopyCommand(java.lang.String,CH.ifa.draw.framework.DrawingView).view",Variable,parameter,view
CH.ifa.draw.standard.DecoratorFigure.includes(CH.ifa.draw.framework.Figure),Operation,method,includes(CH.ifa.draw.framework.Figure)
"CH.ifa.draw.standard.ConnectionHandle.CH.ifa.draw.standard.ConnectionHandle(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Locator,CH.ifa.draw.framework.ConnectionFigure)",Constructor,ctor,"CH.ifa.draw.standard.ConnectionHandle(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Locator,CH.ifa.draw.framework.ConnectionFigure)"
"CH.ifa.draw.standard.SouthEastHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).y",Variable,parameter,y
CH.ifa.draw.framework.Figure.figures(),Operation,method,figures()
CH.ifa.draw.standard.DecoratorFigure.decoratorFigureSerializedDataVersion,Variable,field,decoratorFigureSerializedDataVersion
CH.ifa.draw.standard.DecoratorFigure.decorate(CH.ifa.draw.framework.Figure),Operation,method,decorate(CH.ifa.draw.framework.Figure)
CH.ifa.draw.util.ColorMap.CH.ifa.draw.util.ColorMap(),Constructor,ctor,CH.ifa.draw.util.ColorMap()
CH.ifa.draw.framework.Drawing.figures(),Operation,method,figures()
CH.ifa.draw.util.CommandMenu.add(CH.ifa.draw.util.Command).command,Variable,parameter,command
"CH.ifa.draw.figures.TextFigure.basicDisplayBox(java.awt.Point,java.awt.Point).newCorner",Variable,parameter,newCorner
CH.ifa.draw.figures.ShortestDistanceConnector.CH.ifa.draw.figures.ShortestDistanceConnector(),Constructor,ctor,CH.ifa.draw.figures.ShortestDistanceConnector()
"CH.ifa.draw.framework.ConnectionFigure.endPoint(int,int).y",Variable,parameter,y
"CH.ifa.draw.standard.ConnectionHandle.invokeEnd(int,int,int,int,CH.ifa.draw.framework.DrawingView).anchorX",Variable,parameter,anchorX
CH.ifa.draw.standard.StandardDrawingView.remove(CH.ifa.draw.framework.Figure),Operation,method,remove(CH.ifa.draw.framework.Figure)
CH.ifa.draw.util.StorableOutput.map(CH.ifa.draw.util.Storable).storable,Variable,parameter,storable
CH.ifa.draw.figures.TextTool.endEdit(),Operation,method,endEdit()
CH.ifa.draw.applet.DrawApplet.guessType(java.lang.String).file,Variable,parameter,file
"CH.ifa.draw.figures.ImageFigure.CH.ifa.draw.figures.ImageFigure(java.awt.Image,java.lang.String,java.awt.Point).image",Variable,parameter,image
CH.ifa.draw.figures.TextFigure.updateLocation(),Operation,method,updateLocation()
CH.ifa.draw.standard.StandardDrawing.fListeners,Variable,field,fListeners
CH.ifa.draw.util.PaletteLayout.preferredLayoutSize(java.awt.Container).target,Variable,parameter,target
"CH.ifa.draw.framework.Figure.displayBox(java.awt.Point,java.awt.Point)",Operation,method,"displayBox(java.awt.Point,java.awt.Point)"
"CH.ifa.draw.standard.AbstractHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).x",Variable,parameter,x
CH.ifa.draw.standard.BoxHandleKit.southEast(CH.ifa.draw.framework.Figure).owner,Variable,parameter,owner
CH.ifa.draw.figures.LineConnection.lineConnectionSerializedDataVersion,Variable,field,lineConnectionSerializedDataVersion
"CH.ifa.draw.standard.LocatorConnector.containsPoint(int,int)",Operation,method,"containsPoint(int,int)"
"CH.ifa.draw.standard.DecoratorFigure.connectorAt(int,int)",Operation,method,"connectorAt(int,int)"
CH.ifa.draw.samples.javadraw.AnimationDecorator.serialVersionUID,Variable,field,serialVersionUID
CH.ifa.draw.util.Filler.fHeight,Variable,field,fHeight
CH.ifa.draw.figures.RoundRectangleFigure.DEFAULT_ARC,Variable,field,DEFAULT_ARC
CH.ifa.draw.figures.ShortestDistanceConnector.findEnd(CH.ifa.draw.framework.ConnectionFigure).connection,Variable,parameter,connection
CH.ifa.draw.figures.TextFigure.changed(),Operation,method,changed()
CH.ifa.draw.standard.StandardDrawingView.mouseReleased(java.awt.event.MouseEvent),Operation,method,mouseReleased(java.awt.event.MouseEvent)
"CH.ifa.draw.standard.HandleTracker.mouseDrag(java.awt.event.MouseEvent,int,int).x",Variable,parameter,x
"CH.ifa.draw.framework.Drawing.findFigure(java.awt.Rectangle,CH.ifa.draw.framework.Figure).r",Variable,parameter,r
"CH.ifa.draw.contrib.TriangleRotationHandle.invokeEnd(int,int,CH.ifa.draw.framework.Drawing).drawing",Variable,parameter,drawing
CH.ifa.draw.figures.RadiusHandle,Structure,class,RadiusHandle
CH.ifa.draw.standard.StandardDrawingView.keyTyped(java.awt.event.KeyEvent).e,Variable,parameter,e
"CH.ifa.draw.figures.LineConnection.setPointAt(java.awt.Point,int).p",Variable,parameter,p
CH.ifa.draw.framework.Figure.decompose(),Operation,method,decompose()
CH.ifa.draw.samples.javadraw.AnimationDecorator.fXVelocity,Variable,field,fXVelocity
"CH.ifa.draw.standard.ConnectionTool.mouseUp(java.awt.event.MouseEvent,int,int).e",Variable,parameter,e
CH.ifa.draw.util.Iconkit.fComponent,Variable,field,fComponent
CH.ifa.draw.application.DrawApplication.fSelectedToolButton,Variable,field,fSelectedToolButton
