id,labels,kind,simpleName
refactoring_guru.strategy.example.order,Container,package,order
double,Primitive,,double
short,Primitive,,short
boolean,Primitive,,boolean
refactoring_guru.strategy,Container,package,strategy
byte,Primitive,,byte
java.lang.String,Structure,,String
refactoring_guru.strategy.example.Demo,Structure,class,Demo
refactoring_guru.strategy.example.strategies.CreditCard,Structure,class,CreditCard
refactoring_guru.strategy.example.order.Order,Structure,class,Order
refactoring_guru.strategy.example.strategies.PayByCreditCard,Structure,class,PayByCreditCard
float,Primitive,,float
int,Primitive,,int
refactoring_guru.strategy.example,Container,package,example
refactoring_guru.strategy.example.strategies.PayStrategy,Structure,interface,PayStrategy
long,Primitive,,long
refactoring_guru,Container,package,refactoring_guru
char,Primitive,,char
refactoring_guru.strategy.example.strategies,Container,package,strategies
refactoring_guru.strategy.example.strategies.PayByPayPal,Structure,class,PayByPayPal
