id,source,target,labels,weight
b9eaad683317191a177ee6000d117aeb,refactoring_guru.strategy.example.strategies.PayStrategy.pay(int).paymentAmount,int,type,1
30a63ed5028f3dfca9f4f83417ddbd93,"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String).cvv",java.lang.String,type,1
1de4855c89206d26c2d21a2e307aee60,refactoring_guru.strategy.example.order.Order.totalCost,int,type,1
33c92d0dc9aa33a5d4343f1f77d1b47c,refactoring_guru.strategy.example.strategies.CreditCard,refactoring_guru.strategy.example.strategies.CreditCard.date,hasVariable,1
14838429a0fbfd7f026dbc7cd75ffba2,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.order.Order.isClosed(),invokes,1
00ff4977252abc850a31866e4b397cdc,refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int),refactoring_guru.strategy.example.strategies.PayByCreditCard.cardIsPresent(),invokes,1
3938a8f584317242f38e1de9e52b1561,refactoring_guru.strategy.example.order.Order.setTotalCost(int).cost,int,type,1
af1a096375715a93879378b7522cf809,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.password,hasVariable,1
fb5ee7826a777dd8645b38eb0446dd0f,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayByCreditCard.cardIsPresent(),hasScript,1
84c7f10b6e7fad264fdddb7499ee6bd4,refactoring_guru.strategy.example.strategies.PayStrategy,refactoring_guru.strategy.example.strategies.PayStrategy.pay(int),hasScript,1
4e312ecff6592f8f5a7a962b33f65515,refactoring_guru.strategy.example.Demo.refactoring_guru.strategy.example.Demo(),refactoring_guru.strategy.example.Demo,returnType,1
cce620d8410269e537291f607bbe2e2e,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.DATA_BASE,hasVariable,1
62b5292e8475872bbd2f7cb84f7201c7,refactoring_guru.strategy.example.strategies.PayByPayPal.setSignedIn(boolean).signedIn,boolean,type,1
cfc455f64b08669af12cbfa9a0f017d8,refactoring_guru.strategy.example.Demo.main(java.lang.String[]).args,java.lang.String,type,1
5ad1e3d0c1c32ae6fd679ec44bf90e67,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.PayByCreditCard.collectPaymentDetails(),hasScript,1
8e422f5954255d707b1cfa435caf4339,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.order.Order.setTotalCost(int),invokes,1
990fe1c59afe90cd0af309dc16bf6606,refactoring_guru.strategy.example.strategies,refactoring_guru.strategy.example.strategies.PayByCreditCard,contains,1
a863996e9ce8d65ab5d92f37f399ce4f,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.de9a5bf43be7b5ef9b1217d6348543ba,hasScript,1
2d021589e0672aa8a58fec379080876d,refactoring_guru.strategy.example.strategies.PayByCreditCard.pay(int),boolean,returnType,1
0a17277ebb79f5720bd7145f58e08091,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.getTotalCost(),hasScript,1
0d450fd3b374054e7334656319ad896c,refactoring_guru.strategy.example.strategies.PayStrategy.pay(int),boolean,returnType,1
86c9c71829ab95d1a3e5be92832e6b52,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.order.Order.setClosed(),invokes,1
97a650526d680561be78602aab343dc6,refactoring_guru.strategy.example.strategies.CreditCard,refactoring_guru.strategy.example.strategies.CreditCard.getAmount(),hasScript,1
7769d40220dbf2f5fc3d5fe82410e115,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.order.Order.getTotalCost(),invokes,2
0252340e8707b7dd93899b1d732d688b,refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy),refactoring_guru.strategy.example.strategies.PayStrategy.collectPaymentDetails(),invokes,1
c16a90e4ecb793ef56cedce41c5fad64,refactoring_guru.strategy.example.strategies.PayByPayPal,refactoring_guru.strategy.example.strategies.PayByPayPal.verify(),hasScript,1
6108cbe681d0de749b3fc5c2b33338eb,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.strategies.PayStrategy.pay(int),invokes,1
a67d546c18e358ca814bd4b3cd43c0a2,refactoring_guru.strategy.example.strategies.CreditCard.amount,int,type,1
06916a51a4ded121fba44e7218b32125,refactoring_guru.strategy.example.strategies.CreditCard.setAmount(int),refactoring_guru.strategy.example.strategies.CreditCard.setAmount(int).amount,hasParameter,1
5abed1d531d69801596ab5e5c4515c50,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),hasScript,1
8a5211da363974c185c3ffed99aee72b,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy),hasScript,1
2f0cdb2dc999b3aee1b4e8586fa01f75,refactoring_guru.strategy.example.strategies.PayByPayPal.verify(),boolean,returnType,1
762727518a8bb6c2505c7edd16f6f1b6,refactoring_guru.strategy.example.Demo.main(java.lang.String[]),refactoring_guru.strategy.example.Demo.main(java.lang.String[]).args,hasParameter,1
58483b27b5b773e9811e8a7b065ab3f1,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.Demo.b9de727b8efa9b02e62ffa7c79d21c5d,hasScript,1
8ae784c1fb1fc4114c5a13db1fa3d9f2,refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy),refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy).strategy,hasParameter,1
