id,labels,kind,simpleName
refactoring_guru.strategy.example.Demo.b9de727b8efa9b02e62ffa7c79d21c5d,Script,script,b9de727b8efa9b02e62ffa7c79d21c5d
refactoring_guru.strategy.example.order.Order.getTotalCost(),Operation,method,getTotalCost()
boolean,Primitive,,boolean
refactoring_guru.strategy.example.strategies.CreditCard.getAmount(),Operation,method,getAmount()
refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int).paymentAmount,Variable,parameter,paymentAmount
refactoring_guru.strategy.example.order.Order.setTotalCost(int).cost,Variable,parameter,cost
refactoring_guru.strategy.example.strategies.PayByCreditCard.refactoring_guru.strategy.example.strategies.PayByCreditCard(),Constructor,ctor,refactoring_guru.strategy.example.strategies.PayByCreditCard()
refactoring_guru.strategy.example.Demo.reader,Variable,field,reader
"refactoring_guru.strategy.example.strategies.CreditCard.refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)",Constructor,ctor,"refactoring_guru.strategy.example.strategies.CreditCard(java.lang.String,java.lang.String,java.lang.String)"
refactoring_guru.strategy.example.strategies.CreditCard.amount,Variable,field,amount
refactoring_guru.strategy.example.strategies.PayStrategy,Structure,interface,PayStrategy
refactoring_guru.strategy.example.Demo.order,Variable,field,order
refactoring_guru.strategy.example.order.Order.isClosed,Variable,field,isClosed
refactoring_guru.strategy.example.strategies.CreditCard.date,Variable,field,date
refactoring_guru.strategy.example.strategies.CreditCard.setAmount(int),Operation,method,setAmount(int)
refactoring_guru.strategy.example.strategies.PayByPayPal.collectPaymentDetails(),Operation,method,collectPaymentDetails()
refactoring_guru.strategy.example.strategies.PayStrategy.pay(int),Operation,method,pay(int)
char,Primitive,,char
refactoring_guru.strategy.example.order,Container,package,order
refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy).strategy,Variable,parameter,strategy
refactoring_guru.strategy.example.strategies.CreditCard.cvv,Variable,field,cvv
refactoring_guru.strategy.example.Demo.priceOnProducts,Variable,field,priceOnProducts
refactoring_guru.strategy.example.strategies.PayByPayPal.verify(),Operation,method,verify()
refactoring_guru.strategy.example.strategies.PayByPayPal.pay(int),Operation,method,pay(int)
refactoring_guru.strategy,Container,package,strategy
refactoring_guru.strategy.example.Demo.main(java.lang.String[]).args,Variable,parameter,args
refactoring_guru.strategy.example.strategies.PayByPayPal.setSignedIn(boolean).signedIn,Variable,parameter,signedIn
refactoring_guru.strategy.example.order.Order,Structure,class,Order
refactoring_guru.strategy.example.strategies.PayByPayPal.refactoring_guru.strategy.example.strategies.PayByPayPal(),Constructor,ctor,refactoring_guru.strategy.example.strategies.PayByPayPal()
refactoring_guru.strategy.example.strategies.PayStrategy.pay(int).paymentAmount,Variable,parameter,paymentAmount
float,Primitive,,float
refactoring_guru.strategy.example.Demo.strategy,Variable,field,strategy
refactoring_guru.strategy.example.order.Order.processOrder(refactoring_guru.strategy.example.strategies.PayStrategy),Operation,method,processOrder(refactoring_guru.strategy.example.strategies.PayStrategy)
refactoring_guru.strategy.example.strategies.PayByPayPal.password,Variable,field,password
refactoring_guru.strategy.example,Container,package,example
refactoring_guru,Container,package,refactoring_guru
refactoring_guru.strategy.example.order.Order.refactoring_guru.strategy.example.order.Order(),Constructor,ctor,refactoring_guru.strategy.example.order.Order()
refactoring_guru.strategy.example.strategies.PayByPayPal,Structure,class,PayByPayPal
refactoring_guru.strategy.example.Demo.refactoring_guru.strategy.example.Demo(),Constructor,ctor,refactoring_guru.strategy.example.Demo()
refactoring_guru.strategy.example.strategies.CreditCard.number,Variable,field,number
double,Primitive,,double
